iter,k,mse_est,mse_true
492,181,3369.1334326573387,3342.974211551601
493,151,3364.590979164969,3343.0326482435667
494,191,3381.357249464858,3346.9007280668825
495,111,3339.2928815243718,3353.353963530055
496,161,3279.673722759165,3342.9635008728687
497,191,3327.106249131406,3339.8072556768066
498,181,3280.451328369937,3340.90857041439
499,191,3311.741343510785,3340.250936301767
500,191,3368.4263478057837,3333.1295764811166
501,191,3387.2214507868675,3337.154013535329
502,171,3408.1322695334675,3333.605709776023
503,191,3419.376681229924,3342.6228769625454
504,151,3358.593985307216,3335.929589203746
505,161,3351.3426395375222,3338.918174390682
506,121,3283.062121049431,3355.373118085659
507,161,3480.3279284273635,3340.9633907220227
508,191,3359.835035296965,3339.1222478827517
509,141,3262.077379167558,3358.082228116371
510,171,3405.6051942177387,3345.033204048527
511,171,3371.2866481044616,3343.9736590747975
512,141,3337.337234685108,3341.6483676873104
513,151,3393.435139041076,3349.3071827296512
514,191,3330.4402791168673,3333.9325349601327
515,191,3284.512237146716,3344.483281207437
516,191,3334.5037240058036,3341.9469034130834
517,191,3276.6592688279675,3340.0839788244243
518,171,3289.614799577771,3350.032133174828
519,181,3393.8979883960596,3335.5350485520958
520,141,3347.983648517442,3339.3305543087345
521,161,3323.334639282291,3344.5053265176716
522,191,3316.277397094968,3344.74567974022
523,181,3317.1954487784947,3347.8354219104244
524,191,3257.804061600872,3354.6274166680205
525,151,3253.467253401621,3351.6775895323804
526,191,3428.7324933428044,3326.921196658238
527,171,3418.528847260368,3341.6321762036764
528,181,3392.201978978441,3334.668644627634
529,141,3448.0106073008938,3353.6427338500735
530,181,3259.969787510557,3360.456451553926
531,141,3455.7060555009184,3344.037310084362
532,151,3224.646366677562,3354.7962012058997
533,141,3408.5307880809064,3340.1931424479562
534,111,3335.903577583904,3353.2635452364975
535,181,3323.61586239511,3342.7606305461336
536,181,3354.444848756544,3339.162089830082
537,171,3366.693430012947,3340.7109240729924
538,121,3398.17202836343,3354.1605561391193
539,131,3284.7254750589764,3354.9787853741677
540,191,3423.1860984390937,3338.0356092255242
541,171,3478.137383513715,3356.5696617900558
542,171,3291.4307963247243,3343.893437684755
543,141,3468.462375150332,3334.480266193011
544,191,3285.9880324946243,3339.037119383142
545,181,3269.617443993862,3355.752864903569
546,191,3433.474298843494,3340.0600272438624
547,131,3394.4983454185353,3343.4458671229677
548,181,3311.5704613360704,3342.6413895548344
549,191,3351.6287208817844,3337.243560192813
550,181,3258.788162806566,3354.9257117024767
551,161,3360.5961263575077,3360.1907145186187
552,131,3259.4781256354904,3363.593986631133
553,191,3333.692379358705,3348.2873372625913
554,161,3355.494298825113,3348.1258609467254
555,191,3318.354460403209,3336.3116801520673
556,161,3260.223437937818,3344.6281290496277
557,191,3390.602401006775,3334.1705295221473
558,171,3349.699308441937,3351.359564758643
559,191,3408.972932550345,3347.9412796380943
560,181,3349.9339909903456,3332.309919003811
561,191,3266.609529956715,3355.2161356236306
562,181,3225.8567896203085,3357.446418874382
563,111,3266.279356413558,3359.656327010102
564,191,3409.7268766738316,3337.2693148528347
565,191,3365.415046879996,3344.6070873479944
566,101,3226.428603716874,3365.2776374462596
567,181,3393.132225195385,3351.317351007781
568,191,3312.2451217784337,3356.886502030294
569,191,3335.943386982854,3347.9014596326433
570,181,3342.8036319129887,3343.195469387449
571,181,3323.7406450898666,3339.1112774757953
572,141,3325.6109884212947,3359.1874747487605
573,181,3422.7928739237273,3348.7009631803985
574,191,3355.6397842875635,3337.2194444227343
575,191,3404.6973753285174,3333.3229155823115
576,191,3416.133024431756,3330.752727867867
577,191,3327.9359752634678,3345.190385302048
578,151,3430.2237005920065,3342.012390191767
579,101,3296.016500218261,3373.247851660765
